,0,10,20,30,40,50,60,70,80,90,100,110,120
5,0.002574815,0.002617754,0.002609886,0.002695321,0.002705372,0.002601823,0.002587828,0.00261985,0.002585832,0.002680725,0.002713214,0.002682004,0.002561454
5.5,0.002616663,0.00257646,0.002693466,0.002538927,0.002603073,0.002604509,0.002703204,0.002652796,0.002523594,0.002577675,0.002616223,0.002578865,0.002619617
6,0.002522743,0.002569596,0.002551627,0.002669415,0.002627635,0.002677192,0.002621829,0.002528641,0.002579278,0.002584593,0.0026981,0.002559047,0.00252506
